quarter,catchment,clinic_name,total_waiting,total_waiting_adjusted,backlog,proportional_backlog
2020-01-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,1220,1220.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,1086,1086.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,1,1.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,TULLY DENTAL CLINIC,727,727.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,980,980.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,535,535.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,1194,1194.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,2,2.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,1492,1492.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,2579,2579.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,0,0.00,0.00,0
2020-01-01,Central Queensland,EMERALD DENTAL CLINIC,397,397.00,0.00,0.0000
2020-01-01,Central Queensland,CAPRICORN COAST DENTAL,1315,1315.00,0.00,0.0000
2020-01-01,Central Queensland,BILOELA DENTAL CLINIC,257,257.00,0.00,0.0000
2020-01-01,Central Queensland,GLADSTONE DENTAL CLINIC,1814,1814.00,0.00,0.0000
2020-01-01,Central Queensland,MT MORGAN DENTAL CLINIC,247,247.00,0.00,0.0000
2020-01-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,3343,3343.00,0.00,0.0000
2020-01-01,Central West,CENTRAL WEST DENTAL CLINICS,656,656.00,0.00,0.0000
2020-01-01,Darling Downs,DALBY DENTAL CLINIC,930,930.00,0.00,0.0000
2020-01-01,Darling Downs,WARWICK DENTAL CLINIC,626,626.00,0.00,0.0000
2020-01-01,Darling Downs,INGLEWOOD DENTAL CLINIC,174,174.00,0.00,0.0000
2020-01-01,Darling Downs,KINGAROY DENTAL CLINIC,2376,2376.00,0.00,0.0000
2020-01-01,Darling Downs,STANTHORPE DENTAL CLINIC,741,741.00,0.00,0.0000
2020-01-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,3182,3182.00,0.00,0.0000
2020-01-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,187,187.00,0.00,0.0000
2020-01-01,Darling Downs,MILES DENTAL CLINIC,347,347.00,0.00,0.0000
2020-01-01,Gold Coast,ROBINA DENTAL CLINIC,1152,1152.00,0.00,0.0000
2020-01-01,Gold Coast,PALM BEACH DENTAL CLINIC,927,927.00,0.00,0.0000
2020-01-01,Gold Coast,GC SOUTHPORT HEALTH PREC,3937,3937.00,0.00,0.0000
2020-01-01,Gold Coast,GCUH DENTAL CLINIC,10,10.00,0.00,0.0000
2020-01-01,Mackay,CLERMONT DENTAL CLINIC,70,70.00,0.00,0.0000
2020-01-01,Mackay,BOWEN DENTAL CLINIC,783,783.00,0.00,0.0000
2020-01-01,Mackay,MACKAY DENTAL CLINIC,4210,4210.00,0.00,0.0000
2020-01-01,Mackay,COLLINSVILLE DENTAL CLINI,149,149.00,0.00,0.0000
2020-01-01,Mackay,PROSERPINE DENTAL,1028,1028.00,0.00,0.0000
2020-01-01,Metro North,INDOOROOPILLY DENTAL,0,0.00,0.00,0
2020-01-01,Metro North,CABOOLTURE DENTAL CLINIC,5419,5419.00,0.00,0.0000
2020-01-01,Metro North,ORAL HEALTH CENTRE,3728,3728.00,0.00,0.0000
2020-01-01,Metro North,PINE RIVERS DENTAL CLINIC,2589,2589.00,0.00,0.0000
2020-01-01,Metro North,REDCLIFFE DENTAL CLINIC,3136,3136.00,0.00,0.0000
2020-01-01,Metro North,SANDGATE DENTAL CLINIC,1594,1594.00,0.00,0.0000
2020-01-01,Metro North,STAFFORD DENTAL CLINIC,2361,2361.00,0.00,0.0000
2020-01-01,Metro South,BEENLEIGH BEAUDESERT CLUS,10012,10012.00,0.00,0.0000
2020-01-01,Metro South,BAYSIDE CLUSTER,6855,6855.00,0.00,0.0000
2020-01-01,Metro South,MS INNER BRISBANE CLUSTER,4967,4967.00,0.00,0.0000
2020-01-01,Metro South,KINGSTON LOGAN CLUSTER,4622,4622.00,0.00,0.0000
2020-01-01,Metro South,NATHAN INALA CLUSTER,6946,6946.00,0.00,0.0000
2020-01-01,North West,MORNINGTON ISLAND DENTAL,156,156.00,0.00,0.0000
2020-01-01,North West,CLONCURRY DENTAL,99,99.00,0.00,0.0000
2020-01-01,North West,MT ISA DENTAL CLINIC,655,655.00,0.00,0.0000
2020-01-01,South West,SURAT DENTAL CLINIC,30,30.00,0.00,0.0000
2020-01-01,South West,ST GEORGE DENTAL CLINIC,90,90.00,0.00,0.0000
2020-01-01,South West,CHARLEVILLE DENTAL CLINIC,238,238.00,0.00,0.0000
2020-01-01,South West,INJUNE DENTAL CLINIC,17,17.00,0.00,0.0000
2020-01-01,South West,AUGATHELLA DENTAL CLINIC,10,10.00,0.00,0.0000
2020-01-01,South West,CUNNAMULLA DENTAL CLINIC,79,79.00,0.00,0.0000
2020-01-01,South West,MUNGINDI DENTAL CLINIC,21,21.00,0.00,0.0000
2020-01-01,South West,DIRRANBANDI DENTAL CLINIC,17,17.00,0.00,0.0000
2020-01-01,South West,MITCHELL DENTAL CLINIC,81,81.00,0.00,0.0000
2020-01-01,South West,THARGOMINDAH DENTAL SERVI,11,11.00,0.00,0.0000
2020-01-01,South West,ROMA HOSPITAL DENTAL CLIN,547,547.00,0.00,0.0000
2020-01-01,South West,QUILPIE DENTAL CLINIC,20,20.00,0.00,0.0000
2020-01-01,Sunshine Coast,NAMBOUR DENTAL CLINIC,1689,1689.00,0.00,0.0000
2020-01-01,Sunshine Coast,KAWANA DENTAL CLINIC,3064,3064.00,0.00,0.0000
2020-01-01,Sunshine Coast,GYMPIE DENTAL CLINIC,2247,2247.00,0.00,0.0000
2020-01-01,Sunshine Coast,CALOUNDRA DENTAL CLINIC,3523,3523.00,0.00,0.0000
2020-01-01,Sunshine Coast,NOOSA DENTAL CLINIC,1506,1506.00,0.00,0.0000
2020-01-01,Torres and Cape,TORRES STRAIT DENTAL CLINIC,232,232.00,0.00,0.0000
2020-01-01,Torres and Cape,CAPE YORK DENTAL CLINIC,399,399.00,0.00,0.0000
2020-01-01,Townsville,TOWNSVILLE DENTAL CLINIC,2060,2060.00,0.00,0.0000
2020-01-01,Townsville,RICHMOND DENTAL CLINIC,0,0.00,0.00,0
2020-01-01,Townsville,AYR DENTAL CLINIC,189,189.00,0.00,0.0000
2020-01-01,Townsville,INGHAM DENTAL CLINIC,163,163.00,0.00,0.0000
2020-01-01,Townsville,CHARTERS TOWERS DENTAL CL,294,294.00,0.00,0.0000
2020-01-01,Townsville,HUGHENDEN DENTAL CLINIC,5,5.00,0.00,0.0000
2020-01-01,West Moreton,LAIDLEY DENTAL CLINIC,1273,1282.00,9.00,0.0070
2020-01-01,West Moreton,BOONAH DENTAL CLINIC,403,408.00,5.00,0.0123
2020-01-01,West Moreton,IPSWICH DENTAL CLINIC,5424,5455.75,31.75,0.0058
2020-01-01,West Moreton,COLLINGWOOD PARK DENTAL C,1976,1991.25,15.25,0.0077
2020-01-01,West Moreton,ESK DENTAL CLINIC,606,611.25,5.25,0.0086
2020-01-01,West Moreton,GATTON DENTAL CLINIC,186,192.25,6.25,0.0325
2020-01-01,Wide Bay,MUNDUBBERA DENTAL CLINIC,105,105.00,0.00,0.0000
2020-01-01,Wide Bay,BUNDABERG DENTAL CLINIC,3558,3558.00,0.00,0.0000
2020-01-01,Wide Bay,GAYNDAH DENTAL CLINIC,296,296.00,0.00,0.0000
2020-01-01,Wide Bay,MONTO DENTAL CLINIC,62,62.00,0.00,0.0000
2020-01-01,Wide Bay,CHILDERS DENTAL CLINIC,228,228.00,0.00,0.0000
2020-01-01,Wide Bay,HERVEY BAY DENTAL CLINIC,2626,2626.00,0.00,0.0000
2020-01-01,Wide Bay,MARYBOROUGH DENTAL CLINIC,2074,2074.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,3,3.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,TULLY DENTAL CLINIC,778,782.25,4.25,0.0054
2020-07-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,1,1.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,1793,1793.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,1309,1309.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,2,2.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,1247,1277.25,30.25,0.0237
2020-07-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,640,640.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,1258,1258.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,1270,1307.25,37.25,0.0285
2020-07-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,3071,3071.00,0.00,0.0000
2020-07-01,Central Queensland,CAPRICORN COAST DENTAL,1422,1422.00,0.00,0.0000
2020-07-01,Central Queensland,GLADSTONE DENTAL CLINIC,1983,1983.00,0.00,0.0000
2020-07-01,Central Queensland,WOORABINDA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-07-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,3720,3720.00,0.00,0.0000
2020-07-01,Central Queensland,EMERALD DENTAL CLINIC,515,515.00,0.00,0.0000
2020-07-01,Central Queensland,MT MORGAN DENTAL CLINIC,225,225.00,0.00,0.0000
2020-07-01,Central Queensland,BILOELA DENTAL CLINIC,269,269.00,0.00,0.0000
2020-07-01,Central West,CENTRAL WEST DENTAL CLINICS,621,634.25,13.25,0.0209
2020-07-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,158,158.00,0.00,0.0000
2020-07-01,Darling Downs,INGLEWOOD DENTAL CLINIC,143,143.00,0.00,0.0000
2020-07-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,3455,3455.00,0.00,0.0000
2020-07-01,Darling Downs,MILES DENTAL CLINIC,356,356.00,0.00,0.0000
2020-07-01,Darling Downs,KINGAROY DENTAL CLINIC,2524,2524.00,0.00,0.0000
2020-07-01,Darling Downs,DALBY DENTAL CLINIC,935,935.00,0.00,0.0000
2020-07-01,Darling Downs,WARWICK DENTAL CLINIC,551,551.00,0.00,0.0000
2020-07-01,Darling Downs,STANTHORPE DENTAL CLINIC,641,641.00,0.00,0.0000
2020-07-01,Gold Coast,ROBINA DENTAL CLINIC,1710,1710.00,0.00,0.0000
2020-07-01,Gold Coast,PALM BEACH DENTAL CLINIC,1031,1031.00,0.00,0.0000
2020-07-01,Gold Coast,GCUH DENTAL CLINIC,13,13.00,0.00,0.0000
2020-07-01,Gold Coast,GC SOUTHPORT HEALTH PREC,4773,4773.00,0.00,0.0000
2020-07-01,Mackay,COLLINSVILLE DENTAL CLINI,156,156.00,0.00,0.0000
2020-07-01,Mackay,BOWEN DENTAL CLINIC,896,896.00,0.00,0.0000
2020-07-01,Mackay,CLERMONT DENTAL CLINIC,65,65.00,0.00,0.0000
2020-07-01,Mackay,MACKAY DENTAL CLINIC,4438,4438.00,0.00,0.0000
2020-07-01,Mackay,PROSERPINE DENTAL,1086,1086.00,0.00,0.0000
2020-07-01,Metro North,PINE RIVERS DENTAL CLINIC,2323,2323.00,0.00,0.0000
2020-07-01,Metro North,ORAL HEALTH CENTRE,4723,4723.00,0.00,0.0000
2020-07-01,Metro North,CABOOLTURE DENTAL CLINIC,4784,4784.00,0.00,0.0000
2020-07-01,Metro North,REDCLIFFE DENTAL CLINIC,2738,2738.25,0.25,0.0001
2020-07-01,Metro North,SANDGATE DENTAL CLINIC,1537,1537.00,0.00,0.0000
2020-07-01,Metro North,STAFFORD DENTAL CLINIC,2252,2252.00,0.00,0.0000
2020-07-01,Metro South,KINGSTON LOGAN CLUSTER,4841,4841.00,0.00,0.0000
2020-07-01,Metro South,NATHAN INALA CLUSTER,6988,6988.00,0.00,0.0000
2020-07-01,Metro South,BAYSIDE CLUSTER,7148,7148.00,0.00,0.0000
2020-07-01,Metro South,BEENLEIGH BEAUDESERT CLUS,10226,10226.00,0.00,0.0000
2020-07-01,Metro South,MS INNER BRISBANE CLUSTER,5466,5466.00,0.00,0.0000
2020-07-01,North West,MT ISA DENTAL CLINIC,667,667.00,0.00,0.0000
2020-07-01,North West,MORNINGTON ISLAND DENTAL,204,204.00,0.00,0.0000
2020-07-01,North West,CLONCURRY DENTAL,114,114.00,0.00,0.0000
2020-07-01,South West,CUNNAMULLA DENTAL CLINIC,80,80.00,0.00,0.0000
2020-07-01,South West,DIRRANBANDI DENTAL CLINIC,19,19.00,0.00,0.0000
2020-07-01,South West,MUNGINDI DENTAL CLINIC,26,26.00,0.00,0.0000
2020-07-01,South West,MITCHELL DENTAL CLINIC,91,91.00,0.00,0.0000
2020-07-01,South West,THARGOMINDAH DENTAL SERVI,14,14.00,0.00,0.0000
2020-07-01,South West,SURAT DENTAL CLINIC,39,39.00,0.00,0.0000
2020-07-01,South West,ST GEORGE DENTAL CLINIC,82,82.00,0.00,0.0000
2020-07-01,South West,ROMA HOSPITAL DENTAL CLIN,579,579.00,0.00,0.0000
2020-07-01,South West,AUGATHELLA DENTAL CLINIC,11,11.00,0.00,0.0000
2020-07-01,South West,INJUNE DENTAL CLINIC,23,23.00,0.00,0.0000
2020-07-01,South West,CHARLEVILLE DENTAL CLINIC,243,243.00,0.00,0.0000
2020-07-01,South West,QUILPIE DENTAL CLINIC,29,29.00,0.00,0.0000
2020-07-01,Sunshine Coast,NOOSA DENTAL CLINIC,1466,1470.00,4.00,0.0027
2020-07-01,Sunshine Coast,KAWANA DENTAL CLINIC,3045,3056.50,11.50,0.0038
2020-07-01,Sunshine Coast,GYMPIE DENTAL CLINIC,2260,2260.00,0.00,0.0000
2020-07-01,Sunshine Coast,SCUH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-07-01,Sunshine Coast,CALOUNDRA DENTAL CLINIC,3540,3540.75,0.75,0.0002
2020-07-01,Sunshine Coast,NAMBOUR DENTAL CLINIC,1742,1742.00,0.00,0.0000
2020-07-01,Torres and Cape,CAPE YORK DENTAL CLINIC,421,429.00,8.00,0.0186
2020-07-01,Torres and Cape,TORRES STRAIT DENTAL CLINIC,212,213.25,1.25,0.0059
2020-07-01,Townsville,RICHMOND DENTAL CLINIC,5,5.00,0.00,0.0000
2020-07-01,Townsville,INGHAM DENTAL CLINIC,129,129.00,0.00,0.0000
2020-07-01,Townsville,CHARTERS TOWERS DENTAL CL,222,222.00,0.00,0.0000
2020-07-01,Townsville,AYR DENTAL CLINIC,139,139.00,0.00,0.0000
2020-07-01,Townsville,TOWNSVILLE DENTAL CLINIC,1991,1991.00,0.00,0.0000
2020-07-01,Townsville,HUGHENDEN DENTAL CLINIC,23,23.00,0.00,0.0000
2020-07-01,West Moreton,BOONAH DENTAL CLINIC,359,368.75,9.75,0.0264
2020-07-01,West Moreton,IPSWICH DENTAL CLINIC,5644,5857.50,213.50,0.0364
2020-07-01,West Moreton,LAIDLEY DENTAL CLINIC,1346,1385.50,39.50,0.0285
2020-07-01,West Moreton,GATTON DENTAL CLINIC,145,151.75,6.75,0.0445
2020-07-01,West Moreton,ESK DENTAL CLINIC,534,553.00,19.00,0.0344
2020-07-01,West Moreton,COLLINGWOOD PARK DENTAL C,2087,2143.25,56.25,0.0262
2020-07-01,Wide Bay,HERVEY BAY DENTAL CLINIC,2578,2578.00,0.00,0.0000
2020-07-01,Wide Bay,MARYBOROUGH DENTAL CLINIC,2085,2085.00,0.00,0.0000
2020-07-01,Wide Bay,MONTO DENTAL CLINIC,89,89.00,0.00,0.0000
2020-07-01,Wide Bay,CHILDERS DENTAL CLINIC,221,221.00,0.00,0.0000
2020-07-01,Wide Bay,GAYNDAH DENTAL CLINIC,339,339.00,0.00,0.0000
2020-07-01,Wide Bay,BUNDABERG DENTAL CLINIC,3706,3706.00,0.00,0.0000
2020-07-01,Wide Bay,MUNDUBBERA DENTAL CLINIC,115,115.00,0.00,0.0000
2020-10-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,TULLY DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,CHILLAGOE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,BILOELA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,MT MORGAN DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,CAPRICORN COAST DENTAL,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,GLADSTONE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,EMERALD DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Central West,CENTRAL WEST DENTAL CLINICS,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,WARWICK DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,INGLEWOOD DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,KINGAROY DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,STANTHORPE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,DALBY DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,MILES DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Gold Coast,PALM BEACH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Gold Coast,GCUH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Gold Coast,GC SOUTHPORT HEALTH PREC,NULL,NULL,NULL,NULL
2020-10-01,Gold Coast,ROBINA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Mackay,BOWEN DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Mackay,MACKAY DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Mackay,COLLINSVILLE DENTAL CLINI,NULL,NULL,NULL,NULL
2020-10-01,Mackay,PROSERPINE DENTAL,NULL,NULL,NULL,NULL
2020-10-01,Mackay,CLERMONT DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Metro North,CABOOLTURE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Metro North,ORAL HEALTH CENTRE,NULL,NULL,NULL,NULL
2020-10-01,Metro North,PINE RIVERS DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Metro North,REDCLIFFE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Metro North,SANDGATE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Metro North,STAFFORD DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Metro South,BEENLEIGH BEAUDESERT CLUS,NULL,NULL,NULL,NULL
2020-10-01,Metro South,BAYSIDE CLUSTER,NULL,NULL,NULL,NULL
2020-10-01,Metro South,MS INNER BRISBANE CLUSTER,NULL,NULL,NULL,NULL
2020-10-01,Metro South,KINGSTON LOGAN CLUSTER,NULL,NULL,NULL,NULL
2020-10-01,Metro South,NATHAN INALA CLUSTER,NULL,NULL,NULL,NULL
2020-10-01,North West,CLONCURRY DENTAL,NULL,NULL,NULL,NULL
2020-10-01,North West,MT ISA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,North West,MORNINGTON ISLAND DENTAL,NULL,NULL,NULL,NULL
2020-10-01,South West,SURAT DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,ST GEORGE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,DIRRANBANDI DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,INJUNE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,AUGATHELLA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,CUNNAMULLA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,CHARLEVILLE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,MITCHELL DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,MUNGINDI DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,South West,THARGOMINDAH DENTAL SERVI,NULL,NULL,NULL,NULL
2020-10-01,South West,ROMA HOSPITAL DENTAL CLIN,NULL,NULL,NULL,NULL
2020-10-01,South West,QUILPIE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Sunshine Coast,NAMBOUR DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Sunshine Coast,KAWANA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Sunshine Coast,GYMPIE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Sunshine Coast,CALOUNDRA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Sunshine Coast,NOOSA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Torres and Cape,TORRES STRAIT DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Torres and Cape,CAPE YORK DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Townsville,TOWNSVILLE DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Townsville,RICHMOND DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Townsville,AYR DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Townsville,INGHAM DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Townsville,CHARTERS TOWERS DENTAL CL,NULL,NULL,NULL,NULL
2020-10-01,Townsville,HUGHENDEN DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,LAIDLEY DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,BOONAH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,IPSWICH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,COLLINGWOOD PARK DENTAL C,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,ESK DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,GATTON DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,MUNDUBBERA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,BUNDABERG DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,GAYNDAH DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,MONTO DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,CHILDERS DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,HERVEY BAY DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,MARYBOROUGH DENTAL CLINIC,NULL,NULL,NULL,NULL
2021-01-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,1171,1171.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,1143,1149.50,6.50,0.0057
2021-01-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,2,2.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,TULLY DENTAL CLINIC,670,670.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,1432,1432.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,2,2.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,1872,1872.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,3237,3262.25,25.25,0.0077
2021-01-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,1,1.00,0.00,0.0000
2021-01-01,Cairns and Hinterland,CHILLAGOE DENTAL CLINIC,0,0.00,0.00,0
2021-01-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,1308,1395.25,87.25,0.0625
2021-01-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,700,700.00,0.00,0.0000
2021-01-01,Central Queensland,BILOELA DENTAL CLINIC,216,216.00,0.00,0.0000
2021-01-01,Central Queensland,MT MORGAN DENTAL CLINIC,212,212.00,0.00,0.0000
2021-01-01,Central Queensland,CAPRICORN COAST DENTAL,1456,1456.00,0.00,0.0000
2021-01-01,Central Queensland,GLADSTONE DENTAL CLINIC,1861,1861.00,0.00,0.0000
2021-01-01,Central Queensland,EMERALD DENTAL CLINIC,451,451.00,0.00,0.0000
2021-01-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,3673,3673.00,0.00,0.0000
2021-01-01,Central West,CENTRAL WEST DENTAL CLINICS,643,643.50,0.50,0.0008
2021-01-01,Darling Downs,WARWICK DENTAL CLINIC,566,566.50,0.50,0.0009
2021-01-01,Darling Downs,INGLEWOOD DENTAL CLINIC,120,120.00,0.00,0.0000
2021-01-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,191,191.00,0.00,0.0000
2021-01-01,Darling Downs,KINGAROY DENTAL CLINIC,2439,2458.25,19.25,0.0078
2021-01-01,Darling Downs,STANTHORPE DENTAL CLINIC,575,575.00,0.00,0.0000
2021-01-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,3923,3923.00,0.00,0.0000
2021-01-01,Darling Downs,DALBY DENTAL CLINIC,954,954.00,0.00,0.0000
2021-01-01,Darling Downs,MILES DENTAL CLINIC,334,334.00,0.00,0.0000
2021-01-01,Gold Coast,PALM BEACH DENTAL CLINIC,1188,1188.00,0.00,0.0000
2021-01-01,Gold Coast,GCUH DENTAL CLINIC,14,14.00,0.00,0.0000
2021-01-01,Gold Coast,GC SOUTHPORT HEALTH PREC,5875,5875.00,0.00,0.0000
2021-01-01,Gold Coast,ROBINA DENTAL CLINIC,1957,1957.00,0.00,0.0000
2021-01-01,Mackay,BOWEN DENTAL CLINIC,929,929.00,0.00,0.0000
