quarter,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,clinic_capacity,treatment_rate,quarters_to_treat,months_to_treat,catchment,catchment_waiting_total,catchment_treated_total,mean_capacity_pct,mean_treatment_rate,clinics_pct_of_catchment,catchment_pct_of_qld,region,region_pct_of_qld,clinic_pct_of_qld
2024-10-01,65,ROMA HOSPITAL DENTAL CLIN,553,179,24.500,0.324,3,9,South West,1118,302,21.268,0.270,0.495,0.0082,South West,0.1559,0.0049
2024-10-01,94,SANDGATE DENTAL CLINIC,1570,74,4.500,0.047,21,64,Metro North,20168,477,2.310,0.024,0.078,0.1480,South East,0.6195,0.0111
2024-10-01,142,GCUH DENTAL CLINIC,127,12,8.600,0.094,11,32,Gold Coast,10069,993,8.977,0.099,0.013,0.0739,South East,0.6195,0.0009
2024-10-01,8,PALM BEACH DENTAL CLINIC,622,168,21.300,0.270,4,11,Gold Coast,10069,993,8.977,0.099,0.062,0.0739,South East,0.6195,0.0053
2024-10-01,144,GC SOUTHPORT HEALTH PREC,8081,561,6.500,0.069,14,43,Gold Coast,10069,993,8.977,0.099,0.803,0.0739,South East,0.6195,0.0581
2024-10-01,10,ROBINA DENTAL CLINIC,1239,252,16.900,0.203,5,15,Gold Coast,10069,993,8.977,0.099,0.123,0.0739,South East,0.6195,0.0100
2024-10-01,171,KALLANGUR SATELLITE CLINI,2994,12,0.400,0.004,250,750,Metro North,20168,477,2.310,0.024,0.148,0.1480,South East,0.6195,0.0202
2024-10-01,6,REDCLIFFE DENTAL CLINIC,3202,5,0.200,0.002,500,1500,Metro North,20168,477,2.310,0.024,0.159,0.1480,South East,0.6195,0.0216
2024-10-01,155,BAYSIDE CLUSTER,5406,740,12.000,0.137,7,22,Metro South,31074,3200,9.337,0.103,0.174,0.2281,South East,0.6195,0.0413
2024-10-01,156,KINGSTON LOGAN CLUSTER,5444,344,5.900,0.063,16,48,Metro South,31074,3200,9.337,0.103,0.175,0.2281,South East,0.6195,0.0389
2024-10-01,157,BEENLEIGH BEAUDESERT CLUS,9572,1009,9.500,0.105,10,29,Metro South,31074,3200,9.337,0.103,0.308,0.2281,South East,0.6195,0.0712
2024-10-01,152,MS INNER BRISBANE CLUSTER,4906,519,9.600,0.106,9,28,Metro South,31074,3200,9.337,0.103,0.158,0.2281,South East,0.6195,0.0365
2024-10-01,154,NATHAN INALA CLUSTER,5746,588,9.300,0.102,10,29,Metro South,31074,3200,9.337,0.103,0.185,0.2281,South East,0.6195,0.0426
2024-10-01,2,CALOUNDRA DENTAL CLINIC,3235,383,10.600,0.118,8,25,Sunshine Coast,11360,1564,12.102,0.138,0.285,0.0834,South East,0.6195,0.0243
2024-10-01,3,GYMPIE DENTAL CLINIC,2281,291,11.300,0.128,8,23,Sunshine Coast,11360,1564,12.102,0.138,0.201,0.0834,South East,0.6195,0.0173
2024-10-01,4,NAMBOUR DENTAL CLINIC,1642,268,14.000,0.163,6,18,Sunshine Coast,11360,1564,12.102,0.138,0.145,0.0834,South East,0.6195,0.0128
2024-10-01,89,STAFFORD DENTAL CLINIC,2785,117,4.000,0.042,24,71,Metro North,20168,477,2.310,0.024,0.138,0.1480,South East,0.6195,0.0195
2024-10-01,7,CABOOLTURE DENTAL CLINIC,5826,6,0.100,0.001,1000,3000,Metro North,20168,477,2.310,0.024,0.289,0.1480,South East,0.6195,0.0392
2024-10-01,48,MUNDUBBERA DENTAL CLINIC,133,17,11.300,0.128,8,23,Wide Bay,11732,773,6.182,0.066,0.011,0.0861,South East,0.6195,0.0010
2024-10-01,50,MONTO DENTAL CLINIC,60,10,14.300,0.167,6,18,Wide Bay,11732,773,6.182,0.066,0.005,0.0861,South East,0.6195,0.0005
2024-10-01,51,BUNDABERG DENTAL CLINIC,3830,232,5.700,0.061,16,49,Wide Bay,11732,773,6.182,0.066,0.326,0.0861,South East,0.6195,0.0273
2024-10-01,44,HERVEY BAY DENTAL CLINIC,4468,295,6.200,0.066,15,45,Wide Bay,11732,773,6.182,0.066,0.381,0.0861,South East,0.6195,0.0320
2024-10-01,131,CHILDERS DENTAL CLINIC,273,20,6.800,0.073,14,41,Wide Bay,11732,773,6.182,0.066,0.023,0.0861,South East,0.6195,0.0020
2024-10-01,46,GAYNDAH DENTAL CLINIC,347,60,14.700,0.173,6,17,Wide Bay,11732,773,6.182,0.066,0.030,0.0861,South East,0.6195,0.0027
2024-10-01,47,MARYBOROUGH DENTAL CLINIC,2621,139,5.000,0.053,19,57,Wide Bay,11732,773,6.182,0.066,0.223,0.0861,South East,0.6195,0.0186
2024-10-01,1,KAWANA DENTAL CLINIC,2768,371,11.800,0.134,7,22,Sunshine Coast,11360,1564,12.102,0.138,0.244,0.0834,South East,0.6195,0.0211
2024-10-01,5,NOOSA DENTAL CLINIC,1434,251,14.900,0.175,6,17,Sunshine Coast,11360,1564,12.102,0.138,0.126,0.0834,South East,0.6195,0.0113
2024-10-01,88,ORAL HEALTH CENTRE,3791,256,6.300,0.068,15,44,Metro North,20168,477,2.310,0.024,0.188,0.1480,South East,0.6195,0.0272
2024-10-01,15,MORNINGTON ISLAND DENTAL,118,4,3.300,0.034,29,88,North West,446,19,4.086,0.043,0.265,0.0033,Central,0.0742,0.0008
2024-10-01,37,CAPRICORN COAST DENTAL,1422,196,12.100,0.138,7,22,Central Queensland,8593,1115,11.485,0.130,0.165,0.0631,Central,0.0742,0.0109
2024-10-01,32,ROCKHAMPTON DENTAL CLINIC,3902,590,13.100,0.151,7,20,Central Queensland,8593,1115,11.485,0.130,0.454,0.0631,Central,0.0742,0.0302
2024-10-01,33,GLADSTONE DENTAL CLINIC,2256,185,7.600,0.082,12,37,Central Queensland,8593,1115,11.485,0.130,0.263,0.0631,Central,0.0742,0.0164
2024-10-01,36,EMERALD DENTAL CLINIC,524,89,14.500,0.170,6,18,Central Queensland,8593,1115,11.485,0.130,0.061,0.0631,Central,0.0742,0.0041
2024-10-01,118,MT MORGAN DENTAL CLINIC,138,17,11.000,0.123,8,24,Central Queensland,8593,1115,11.485,0.130,0.016,0.0631,Central,0.0742,0.0010
2024-10-01,35,BILOELA DENTAL CLINIC,351,38,9.800,0.108,9,28,Central Queensland,8593,1115,11.485,0.130,0.041,0.0631,Central,0.0742,0.0026
2024-10-01,42,CENTRAL WEST DENTAL CLINICS,1064,185,14.800,0.174,6,17,Central West,1064,185,14.812,0.174,1.000,0.0078,Central,0.0742,0.0084
2024-10-01,16,MT ISA DENTAL CLINIC,328,15,4.400,0.046,22,65,North West,446,19,4.086,0.043,0.735,0.0033,Central,0.0742,0.0023
2024-10-01,123,DIRRANBANDI DENTAL CLINIC,11,0,0.000,0.000,NULL,NULL,South West,1118,302,21.268,0.270,0.010,0.0082,South West,0.1559,0.0001
2024-10-01,60,DALBY DENTAL CLINIC,747,64,7.900,0.086,12,35,Darling Downs,10084,757,6.983,0.075,0.074,0.0740,South West,0.1559,0.0055
2024-10-01,45,KINGAROY DENTAL CLINIC,2362,80,3.300,0.034,29,88,Darling Downs,10084,757,6.983,0.075,0.234,0.0740,South West,0.1559,0.0164
2024-10-01,54,TOOWOOMBA DENTAL CLINIC,4637,292,5.900,0.063,16,48,Darling Downs,10084,757,6.983,0.075,0.460,0.0740,South West,0.1559,0.0332
2024-10-01,57,STANTHORPE DENTAL CLINIC,771,86,10.000,0.112,9,27,Darling Downs,10084,757,6.983,0.075,0.076,0.0740,South West,0.1559,0.0058
2024-10-01,53,MILES DENTAL CLINIC,455,100,18.000,0.220,5,14,Darling Downs,10084,757,6.983,0.075,0.045,0.0740,South West,0.1559,0.0037
2024-10-01,56,INGLEWOOD DENTAL CLINIC,95,26,21.500,0.274,4,11,Darling Downs,10084,757,6.983,0.075,0.009,0.0740,South West,0.1559,0.0008
2024-10-01,58,WARWICK DENTAL CLINIC,850,73,7.900,0.086,12,35,Darling Downs,10084,757,6.983,0.075,0.084,0.0740,South West,0.1559,0.0062
2024-10-01,55,GOONDIWINDI DENTAL CLINIC,167,36,17.700,0.216,5,14,Darling Downs,10084,757,6.983,0.075,0.017,0.0740,South West,0.1559,0.0014
2024-10-01,124,INJUNE DENTAL CLINIC,16,0,0.000,0.000,NULL,NULL,South West,1118,302,21.268,0.270,0.014,0.0082,South West,0.1559,0.0001
2024-10-01,125,MITCHELL DENTAL CLINIC,75,14,15.700,0.187,5,16,South West,1118,302,21.268,0.270,0.067,0.0082,South West,0.1559,0.0006
2024-10-01,127,MUNGINDI DENTAL CLINIC,15,0,0.000,0.000,NULL,NULL,South West,1118,302,21.268,0.270,0.013,0.0082,South West,0.1559,0.0001
2024-10-01,85,LAIDLEY DENTAL CLINIC,1602,77,4.600,0.048,21,62,West Moreton,10032,453,4.320,0.045,0.160,0.0736,South West,0.1559,0.0113
2024-10-01,87,IPSWICH DENTAL CLINIC,6449,273,4.100,0.042,24,71,West Moreton,10032,453,4.320,0.045,0.643,0.0736,South West,0.1559,0.0452
2024-10-01,86,COLLINGWOOD PARK DENTAL C,1234,66,5.100,0.053,19,57,West Moreton,10032,453,4.320,0.045,0.123,0.0736,South West,0.1559,0.0087
2024-10-01,84,BOONAH DENTAL CLINIC,373,29,7.200,0.078,13,38,West Moreton,10032,453,4.320,0.045,0.037,0.0736,South West,0.1559,0.0027
2024-10-01,83,ESK DENTAL CLINIC,367,8,2.100,0.022,45,136,West Moreton,10032,453,4.320,0.045,0.037,0.0736,South West,0.1559,0.0025
2024-10-01,52,GATTON DENTAL CLINIC,7,0,0.000,0.000,NULL,NULL,West Moreton,10032,453,4.320,0.045,0.001,0.0736,South West,0.1559,0.0000
2024-10-01,128,QUILPIE DENTAL CLINIC,26,0,0.000,0.000,NULL,NULL,South West,1118,302,21.268,0.270,0.023,0.0082,South West,0.1559,0.0002
2024-10-01,129,SURAT DENTAL CLINIC,23,0,0.000,0.000,NULL,NULL,South West,1118,302,21.268,0.270,0.021,0.0082,South West,0.1559,0.0002
2024-10-01,160,ST GEORGE DENTAL CLINIC,61,14,18.700,0.230,4,13,South West,1118,302,21.268,0.270,0.055,0.0082,South West,0.1559,0.0005
2024-10-01,62,CHARLEVILLE DENTAL CLINIC,230,83,26.500,0.361,3,8,South West,1118,302,21.268,0.270,0.206,0.0082,South West,0.1559,0.0021
2024-10-01,63,CUNNAMULLA DENTAL CLINIC,97,12,11.000,0.124,8,24,South West,1118,302,21.268,0.270,0.087,0.0082,South West,0.1559,0.0007
2024-10-01,64,THARGOMINDAH DENTAL SERVI,11,0,0.000,0.000,NULL,NULL,South West,1118,302,21.268,0.270,0.010,0.0082,South West,0.1559,0.0001
2024-10-01,107,CAPE YORK DENTAL CLINIC,543,18,3.200,0.033,30,91,Torres and Cape,797,54,6.345,0.068,0.681,0.0059,North,0.1504,0.0038
2024-10-01,150,TORRES STRAIT DENTAL CLINIC,254,36,12.400,0.142,7,21,Torres and Cape,797,54,6.345,0.068,0.319,0.0059,North,0.1504,0.0020
2024-10-01,120,CLERMONT DENTAL CLINIC,40,0,0.000,0.000,NULL,NULL,Mackay,6990,1209,14.746,0.173,0.006,0.0513,North,0.1504,0.0003
2024-10-01,39,MACKAY DENTAL CLINIC,4977,946,16.000,0.190,5,16,Mackay,6990,1209,14.746,0.173,0.712,0.0513,North,0.1504,0.0398
2024-10-01,13,BOWEN DENTAL CLINIC,882,148,14.400,0.168,6,18,Mackay,6990,1209,14.746,0.173,0.126,0.0513,North,0.1504,0.0069
2024-10-01,121,COLLINSVILLE DENTAL CLINI,36,26,41.900,0.722,1,4,Mackay,6990,1209,14.746,0.173,0.005,0.0513,North,0.1504,0.0004
2024-10-01,38,PROSERPINE DENTAL,1055,89,7.800,0.084,12,36,Mackay,6990,1209,14.746,0.173,0.151,0.0513,North,0.1504,0.0077
2024-10-01,14,AYR DENTAL CLINIC,319,30,8.600,0.094,11,32,Townsville,3457,329,8.690,0.095,0.092,0.0254,North,0.1504,0.0023
2024-10-01,20,TOWNSVILLE DENTAL CLINIC,2618,205,7.300,0.078,13,38,Townsville,3457,329,8.690,0.095,0.757,0.0254,North,0.1504,0.0190
2025-01-01,124,INJUNE DENTAL CLINIC,18,8,30.800,0.444,2,7,South West,1230,410,25.000,0.333,0.015,0.0088,South West,0.1536,0.0002
2025-01-01,123,DIRRANBANDI DENTAL CLINIC,16,3,15.800,0.188,5,16,South West,1230,410,25.000,0.333,0.013,0.0088,South West,0.1536,0.0001
2025-01-01,84,BOONAH DENTAL CLINIC,346,15,4.200,0.043,23,70,West Moreton,9953,312,3.039,0.031,0.035,0.0710,South West,0.1536,0.0024
2025-01-01,83,ESK DENTAL CLINIC,352,8,2.200,0.023,43,130,West Moreton,9953,312,3.039,0.031,0.035,0.0710,South West,0.1536,0.0024
2025-01-01,52,GATTON DENTAL CLINIC,7,0,0.000,0.000,NULL,NULL,West Moreton,9953,312,3.039,0.031,0.001,0.0710,South West,0.1536,0.0000
2025-01-01,86,COLLINGWOOD PARK DENTAL C,1231,35,2.800,0.028,36,107,West Moreton,9953,312,3.039,0.031,0.124,0.0710,South West,0.1536,0.0083
2025-01-01,87,IPSWICH DENTAL CLINIC,6452,198,3.000,0.031,32,97,West Moreton,9953,312,3.039,0.031,0.648,0.0710,South West,0.1536,0.0435
2025-01-01,171,KALLANGUR SATELLITE CLINI,3259,7,0.200,0.002,500,1500,Metro North,21169,811,3.690,0.038,0.154,0.1510,South East,0.6274,0.0214
2025-01-01,6,REDCLIFFE DENTAL CLINIC,3416,9,0.300,0.003,333,1000,Metro North,21169,811,3.690,0.038,0.161,0.1510,South East,0.6274,0.0224
2025-01-01,7,CABOOLTURE DENTAL CLINIC,6342,9,0.100,0.001,1000,3000,Metro North,21169,811,3.690,0.038,0.300,0.1510,South East,0.6274,0.0415
2025-01-01,25,MAREEBA DENTAL CLINIC,1081,109,9.200,0.101,10,30,Cairns and Hinterland,9599,798,7.675,0.083,0.113,0.0685,North,0.1456,0.0078
2025-01-01,26,CAIRNS NTH DENTAL CLINIC,3026,160,5.000,0.053,19,57,Cairns and Hinterland,9599,798,7.675,0.083,0.315,0.0685,North,0.1456,0.0208
2025-01-01,30,EDMONTON DENTAL CLINIC,1380,111,7.400,0.080,13,38,Cairns and Hinterland,9599,798,7.675,0.083,0.144,0.0685,North,0.1456,0.0098
2025-01-01,27,SMITHFIELD DENTAL CLINIC,946,78,7.600,0.082,12,37,Cairns and Hinterland,9599,798,7.675,0.083,0.099,0.0685,North,0.1456,0.0067
2025-01-01,81,HUGHENDEN DENTAL CLINIC,19,1,5.000,0.053,19,57,Townsville,3477,461,11.706,0.133,0.005,0.0248,North,0.1456,0.0001
2025-01-01,21,MOSSMAN DENTAL CLINIC,566,9,1.600,0.016,63,188,Cairns and Hinterland,9599,798,7.675,0.083,0.059,0.0685,North,0.1456,0.0038
2025-01-01,14,AYR DENTAL CLINIC,297,31,9.500,0.104,10,29,Townsville,3477,461,11.706,0.133,0.085,0.0248,North,0.1456,0.0021
2025-01-01,20,TOWNSVILLE DENTAL CLINIC,2602,395,13.200,0.152,7,20,Townsville,3477,461,11.706,0.133,0.748,0.0248,North,0.1456,0.0196
2025-01-01,121,COLLINSVILLE DENTAL CLINI,39,1,2.500,0.026,38,115,Mackay,6506,1381,17.510,0.212,0.006,0.0464,North,0.1456,0.0003
2025-01-01,13,BOWEN DENTAL CLINIC,870,336,27.900,0.386,3,8,Mackay,6506,1381,17.510,0.212,0.134,0.0464,North,0.1456,0.0079
2025-01-01,38,PROSERPINE DENTAL,1061,235,18.100,0.221,5,14,Mackay,6506,1381,17.510,0.212,0.163,0.0464,North,0.1456,0.0085
2025-01-01,39,MACKAY DENTAL CLINIC,4512,785,14.800,0.174,6,17,Mackay,6506,1381,17.510,0.212,0.694,0.0464,North,0.1456,0.0347
2025-01-01,120,CLERMONT DENTAL CLINIC,24,24,50.000,1.000,1,3,Mackay,6506,1381,17.510,0.212,0.004,0.0464,North,0.1456,0.0003
2025-01-01,19,CHARTERS TOWERS DENTAL CL,181,15,7.700,0.083,12,36,Townsville,3477,461,11.706,0.133,0.052,0.0248,North,0.1456,0.0013
2025-01-01,130,RICHMOND DENTAL CLINIC,6,0,0.000,0.000,NULL,NULL,Townsville,3477,461,11.706,0.133,0.002,0.0248,North,0.1456,0.0000
2025-01-01,17,INGHAM DENTAL CLINIC,372,19,4.900,0.051,20,59,Townsville,3477,461,11.706,0.133,0.107,0.0248,North,0.1456,0.0026
2025-01-01,23,ATHERTON DENTAL CLINIC,915,68,6.900,0.074,14,41,Cairns and Hinterland,9599,798,7.675,0.083,0.095,0.0685,North,0.1456,0.0064
2025-01-01,28,TULLY DENTAL CLINIC,690,68,9.000,0.099,10,30,Cairns and Hinterland,9599,798,7.675,0.083,0.072,0.0685,North,0.1456,0.0050
2025-01-01,24,INNISFAIL DENTAL CLINIC,995,163,14.100,0.164,6,18,Cairns and Hinterland,9599,798,7.675,0.083,0.104,0.0685,North,0.1456,0.0076
2025-01-01,107,CAPE YORK DENTAL CLINIC,519,22,4.100,0.042,24,71,Torres and Cape,823,95,10.349,0.115,0.631,0.0059,North,0.1456,0.0035
2025-01-01,150,TORRES STRAIT DENTAL CLINIC,304,73,19.400,0.240,4,13,Torres and Cape,823,95,10.349,0.115,0.369,0.0059,North,0.1456,0.0025
2025-01-01,1,KAWANA DENTAL CLINIC,2875,309,9.700,0.107,9,28,Sunshine Coast,11709,1080,8.445,0.092,0.246,0.0835,South East,0.6274,0.0208
2025-01-01,4,NAMBOUR DENTAL CLINIC,1770,76,4.100,0.043,23,70,Sunshine Coast,11709,1080,8.445,0.092,0.151,0.0835,South East,0.6274,0.0121
2025-01-01,2,CALOUNDRA DENTAL CLINIC,3198,369,10.300,0.115,9,26,Sunshine Coast,11709,1080,8.445,0.092,0.273,0.0835,South East,0.6274,0.0233
2025-01-01,3,GYMPIE DENTAL CLINIC,2242,227,9.200,0.101,10,30,Sunshine Coast,11709,1080,8.445,0.092,0.191,0.0835,South East,0.6274,0.0162
2025-01-01,5,NOOSA DENTAL CLINIC,1624,98,5.700,0.060,17,50,Sunshine Coast,11709,1080,8.445,0.092,0.139,0.0835,South East,0.6274,0.0113
2025-01-01,131,CHILDERS DENTAL CLINIC,266,32,10.700,0.120,8,25,Wide Bay,11636,1093,8.587,0.094,0.023,0.0830,South East,0.6274,0.0019
2025-01-01,50,MONTO DENTAL CLINIC,61,8,11.600,0.131,8,23,Wide Bay,11636,1093,8.587,0.094,0.005,0.0830,South East,0.6274,0.0005
2025-01-01,46,GAYNDAH DENTAL CLINIC,360,36,9.100,0.100,10,30,Wide Bay,11636,1093,8.587,0.094,0.031,0.0830,South East,0.6274,0.0026
2025-01-01,51,BUNDABERG DENTAL CLINIC,3650,408,10.100,0.112,9,27,Wide Bay,11636,1093,8.587,0.094,0.314,0.0830,South East,0.6274,0.0265
2025-01-01,47,MARYBOROUGH DENTAL CLINIC,2503,341,12.000,0.136,7,22,Wide Bay,11636,1093,8.587,0.094,0.215,0.0830,South East,0.6274,0.0186
2025-01-01,155,BAYSIDE CLUSTER,5707,590,9.400,0.103,10,29,Metro South,33040,3011,8.352,0.091,0.173,0.2357,South East,0.6274,0.0412
2025-01-01,152,MS INNER BRISBANE CLUSTER,5138,587,10.300,0.114,9,26,Metro South,33040,3011,8.352,0.091,0.156,0.2357,South East,0.6274,0.0375
2025-01-01,154,NATHAN INALA CLUSTER,6164,555,8.300,0.090,11,33,Metro South,33040,3011,8.352,0.091,0.187,0.2357,South East,0.6274,0.0440
2025-01-01,156,KINGSTON LOGAN CLUSTER,5839,416,6.700,0.071,14,42,Metro South,33040,3011,8.352,0.091,0.177,0.2357,South East,0.6274,0.0409
2025-01-01,157,BEENLEIGH BEAUDESERT CLUS,10192,863,7.800,0.085,12,35,Metro South,33040,3011,8.352,0.091,0.308,0.2357,South East,0.6274,0.0723
2025-01-01,142,GCUH DENTAL CLINIC,156,19,10.900,0.122,8,25,Gold Coast,10387,973,8.565,0.094,0.015,0.0741,South East,0.6274,0.0011
2025-01-01,8,PALM BEACH DENTAL CLINIC,779,135,14.800,0.173,6,17,Gold Coast,10387,973,8.565,0.094,0.075,0.0741,South East,0.6274,0.0060
2025-01-01,10,ROBINA DENTAL CLINIC,1446,189,11.600,0.131,8,23,Gold Coast,10387,973,8.565,0.094,0.139,0.0741,South East,0.6274,0.0107
2025-01-01,144,GC SOUTHPORT HEALTH PREC,8006,630,7.300,0.079,13,38,Gold Coast,10387,973,8.565,0.094,0.771,0.0741,South East,0.6274,0.0565
2025-01-01,44,HERVEY BAY DENTAL CLINIC,4662,259,5.300,0.056,18,54,Wide Bay,11636,1093,8.587,0.094,0.401,0.0830,South East,0.6274,0.0322
2025-01-01,48,MUNDUBBERA DENTAL CLINIC,134,9,6.300,0.067,15,45,Wide Bay,11636,1093,8.587,0.094,0.012,0.0830,South East,0.6274,0.0009
2025-01-01,88,ORAL HEALTH CENTRE,3469,659,16.000,0.190,5,16,Metro North,21169,811,3.690,0.038,0.164,0.1510,South East,0.6274,0.0270
2025-01-01,94,SANDGATE DENTAL CLINIC,1752,84,4.600,0.048,21,62,Metro North,21169,811,3.690,0.038,0.083,0.1510,South East,0.6274,0.0120
2025-01-01,89,STAFFORD DENTAL CLINIC,2931,43,1.400,0.015,67,200,Metro North,21169,811,3.690,0.038,0.138,0.1510,South East,0.6274,0.0195
2025-01-01,85,LAIDLEY DENTAL CLINIC,1565,56,3.500,0.036,28,83,West Moreton,9953,312,3.039,0.031,0.157,0.0710,South West,0.1536,0.0106
2025-01-01,53,MILES DENTAL CLINIC,453,68,13.100,0.150,7,20,Darling Downs,10346,597,5.456,0.058,0.044,0.0738,South West,0.1536,0.0034
2025-01-01,55,GOONDIWINDI DENTAL CLINIC,132,71,35.000,0.538,2,6,Darling Downs,10346,597,5.456,0.058,0.013,0.0738,South West,0.1536,0.0013
2025-01-01,56,INGLEWOOD DENTAL CLINIC,107,28,20.700,0.262,4,11,Darling Downs,10346,597,5.456,0.058,0.010,0.0738,South West,0.1536,0.0009
2025-01-01,57,STANTHORPE DENTAL CLINIC,831,41,4.700,0.049,20,61,Darling Downs,10346,597,5.456,0.058,0.080,0.0738,South West,0.1536,0.0057
2025-01-01,58,WARWICK DENTAL CLINIC,892,18,2.000,0.020,50,150,Darling Downs,10346,597,5.456,0.058,0.086,0.0738,South West,0.1536,0.0060
2025-01-01,15,MORNINGTON ISLAND DENTAL,129,1,0.800,0.008,125,375,North West,492,60,10.870,0.122,0.262,0.0035,Central,0.0734,0.0009
2025-01-01,37,CAPRICORN COAST DENTAL,1374,223,14.000,0.162,6,19,Central Queensland,8636,1473,14.571,0.171,0.159,0.0616,Central,0.0734,0.0104
2025-01-01,36,EMERALD DENTAL CLINIC,454,155,25.500,0.341,3,9,Central Queensland,8636,1473,14.571,0.171,0.053,0.0616,Central,0.0734,0.0040
2025-01-01,33,GLADSTONE DENTAL CLINIC,2395,140,5.500,0.058,17,52,Central Queensland,8636,1473,14.571,0.171,0.277,0.0616,Central,0.0734,0.0166
2025-01-01,32,ROCKHAMPTON DENTAL CLINIC,3920,860,18.000,0.219,5,14,Central Queensland,8636,1473,14.571,0.171,0.454,0.0616,Central,0.0734,0.0313
2025-01-01,16,MT ISA DENTAL CLINIC,363,59,14.000,0.163,6,18,North West,492,60,10.870,0.122,0.738,0.0035,Central,0.0734,0.0028
2025-01-01,42,CENTRAL WEST DENTAL CLINICS,1162,171,12.800,0.147,7,20,Central West,1162,171,12.828,0.147,1.000,0.0083,Central,0.0734,0.0087
2025-01-01,35,BILOELA DENTAL CLINIC,356,51,12.500,0.143,7,21,Central Queensland,8636,1473,14.571,0.171,0.041,0.0616,Central,0.0734,0.0027
2025-01-01,118,MT MORGAN DENTAL CLINIC,137,44,24.300,0.321,3,9,Central Queensland,8636,1473,14.571,0.171,0.016,0.0616,Central,0.0734,0.0012
2025-01-01,60,DALBY DENTAL CLINIC,737,17,2.300,0.023,43,130,Darling Downs,10346,597,5.456,0.058,0.071,0.0738,South West,0.1536,0.0049
2025-01-01,45,KINGAROY DENTAL CLINIC,2327,143,5.800,0.061,16,49,Darling Downs,10346,597,5.456,0.058,0.225,0.0738,South West,0.1536,0.0162
2025-01-01,54,TOOWOOMBA DENTAL CLINIC,4867,211,4.200,0.043,23,70,Darling Downs,10346,597,5.456,0.058,0.470,0.0738,South West,0.1536,0.0332
2025-01-01,128,QUILPIE DENTAL CLINIC,27,12,30.800,0.444,2,7,South West,1230,410,25.000,0.333,0.022,0.0088,South West,0.1536,0.0003
2025-01-01,160,ST GEORGE DENTAL CLINIC,68,11,13.900,0.162,6,19,South West,1230,410,25.000,0.333,0.055,0.0088,South West,0.1536,0.0005
2025-01-01,129,SURAT DENTAL CLINIC,27,0,0.000,0.000,NULL,NULL,South West,1230,410,25.000,0.333,0.022,0.0088,South West,0.1536,0.0002
2025-01-01,62,CHARLEVILLE DENTAL CLINIC,298,100,25.100,0.336,3,9,South West,1230,410,25.000,0.333,0.242,0.0088,South West,0.1536,0.0026
2025-01-01,63,CUNNAMULLA DENTAL CLINIC,98,27,21.600,0.276,4,11,South West,1230,410,25.000,0.333,0.080,0.0088,South West,0.1536,0.0008
2025-01-01,64,THARGOMINDAH DENTAL SERVI,15,0,0.000,0.000,NULL,NULL,South West,1230,410,25.000,0.333,0.012,0.0088,South West,0.1536,0.0001
2025-01-01,65,ROMA HOSPITAL DENTAL CLIN,571,229,28.600,0.401,2,7,South West,1230,410,25.000,0.333,0.464,0.0088,South West,0.1536,0.0052
2025-01-01,127,MUNGINDI DENTAL CLINIC,19,7,26.900,0.368,3,8,South West,1230,410,25.000,0.333,0.015,0.0088,South West,0.1536,0.0002
2025-01-01,125,MITCHELL DENTAL CLINIC,73,13,15.100,0.178,6,17,South West,1230,410,25.000,0.333,0.059,0.0088,South West,0.1536,0.0006
2025-04-01,4,NAMBOUR DENTAL CLINIC,1774,122,6.400,0.069,14,43,Sunshine Coast,12104,786,6.098,0.065,0.147,0.0819,South East,0.6279,0.0119
2025-04-01,152,MS INNER BRISBANE CLUSTER,5674,223,3.800,0.039,26,77,Metro South,36577,1454,3.823,0.040,0.155,0.2476,South East,0.6279,0.0371
2025-04-01,154,NATHAN INALA CLUSTER,6817,221,3.100,0.032,31,94,Metro South,36577,1454,3.823,0.040,0.186,0.2476,South East,0.6279,0.0442
2025-04-01,156,KINGSTON LOGAN CLUSTER,6499,228,3.400,0.035,29,86,Metro South,36577,1454,3.823,0.040,0.178,0.2476,South East,0.6279,0.0423
2025-04-01,157,BEENLEIGH BEAUDESERT CLUS,11339,492,4.200,0.043,23,70,Metro South,36577,1454,3.823,0.040,0.310,0.2476,South East,0.6279,0.0744
2025-04-01,155,BAYSIDE CLUSTER,6248,290,4.400,0.046,22,65,Metro South,36577,1454,3.823,0.040,0.171,0.2476,South East,0.6279,0.0411
2025-04-01,131,CHILDERS DENTAL CLINIC,270,29,9.700,0.107,9,28,Wide Bay,11693,1082,8.470,0.093,0.023,0.0792,South East,0.6279,0.0019
2025-04-01,8,PALM BEACH DENTAL CLINIC,930,97,9.400,0.104,10,29,Gold Coast,9652,1429,12.896,0.148,0.096,0.0653,South East,0.6279,0.0065
2025-04-01,144,GC SOUTHPORT HEALTH PREC,7112,1190,14.300,0.167,6,18,Gold Coast,9652,1429,12.896,0.148,0.737,0.0653,South East,0.6279,0.0522
2025-04-01,10,ROBINA DENTAL CLINIC,1446,133,8.400,0.092,11,33,Gold Coast,9652,1429,12.896,0.148,0.150,0.0653,South East,0.6279,0.0099
2025-04-01,142,GCUH DENTAL CLINIC,164,9,5.200,0.055,18,55,Gold Coast,9652,1429,12.896,0.148,0.017,0.0653,South East,0.6279,0.0011
