quarter,catchment,total_waiting,total_waiting_adjusted,backlog,proportional_backlog
2025-01-01,Central West,1162,1162.50,0.50,0.04
2025-01-01,Darling Downs,10346,10346.00,0.00,0.00
2025-01-01,Gold Coast,10387,10387.00,0.00,0.00
2025-01-01,Mackay,6506,6506.00,0.00,0.00
2025-01-01,Metro North,21169,21169.00,0.00,0.00
2025-01-01,Metro South,33040,33040.00,0.00,0.00
2025-01-01,North West,492,492.00,0.00,0.00
2025-01-01,South West,1230,1230.00,0.00,0.00
2025-01-01,Sunshine Coast,11709,11709.00,0.00,0.00
2025-01-01,Torres and Cape,823,935.25,112.25,12.00
2025-01-01,Townsville,3477,3477.00,0.00,0.00
2025-01-01,West Moreton,9953,10047.00,94.00,0.94
2025-01-01,Wide Bay,11636,11636.00,0.00,0.00
2025-04-01,Cairns and Hinterland,10058,10058.00,0.00,0.00
2025-04-01,Central Queensland,8532,8532.00,0.00,0.00
2025-04-01,Central West,1157,1157.00,0.00,0.00
2025-04-01,Darling Downs,10662,10662.00,0.00,0.00
2025-04-01,Gold Coast,9652,9652.25,0.25,0.00
2025-04-01,Mackay,6771,6771.00,0.00,0.00
2025-04-01,Metro North,22727,22727.00,0.00,0.00
2025-04-01,Metro South,36577,36577.50,0.50,0.00
2025-04-01,North West,610,610.25,0.25,0.04
2025-04-01,South West,1275,1275.00,0.00,0.00
2025-04-01,Sunshine Coast,12104,12105.50,1.50,0.01
2025-04-01,Torres and Cape,726,811.00,85.00,10.48
2025-04-01,Townsville,3712,3712.00,0.00,0.00
2025-04-01,West Moreton,11456,11681.25,225.25,1.93
2025-04-01,Wide Bay,11693,11693.00,0.00,0.00
