quarter,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,clinic_treatment_ratio,clinic_treatment_pct,quarters_to_treat,months_to_treat,catchment,catchment_waiting_total,catchment_treated_total,mean_ratio,clinics_pct_of_catchment,catchment_pct_of_qld,clinic_pct_of_qld
2024-01-01,120,CLERMONT DENTAL CLINIC,33,0,0.000,0.00,NULL,NULL,Mackay,6877,1117,0.140,0.005,0.0542,0.00025986912046114957
2023-04-01,160,ST GEORGE DENTAL CLINIC,33,16,0.485,48.48,2,6,South West,859,356,0.293,0.038,0.0074,0.00028428669882839421
2025-04-01,120,CLERMONT DENTAL CLINIC,35,0,0.000,0.00,NULL,NULL,Mackay,6771,622,0.084,0.005,0.0458,0.00023694757365684575
2024-04-01,121,COLLINSVILLE DENTAL CLINI,35,5,0.143,14.29,7,21,Mackay,6958,1010,0.127,0.005,0.0531,0.00026729799908354972
2024-10-01,121,COLLINSVILLE DENTAL CLINI,36,26,0.722,72.22,1,4,Mackay,6990,1209,0.147,0.005,0.0513,0.00026424733550603365
2024-01-01,121,COLLINSVILLE DENTAL CLINI,37,2,0.054,5.41,19,56,Mackay,6877,1117,0.140,0.005,0.0542,0.00029136840778977376
2023-04-01,63,CUNNAMULLA DENTAL CLINIC,37,27,0.730,72.97,1,4,South West,859,356,0.293,0.043,0.0074,0.00031874569262577533
2025-04-01,121,COLLINSVILLE DENTAL CLINI,37,5,0.135,13.51,7,22,Mackay,6771,622,0.084,0.005,0.0458,0.00025048743500866551
2024-04-01,120,CLERMONT DENTAL CLINIC,38,51,1.342,134.21,1,2,Mackay,6958,1010,0.127,0.005,0.0531,0.00029020925614785398
2023-07-01,121,COLLINSVILLE DENTAL CLINI,39,29,0.744,74.36,1,4,Mackay,6426,1128,0.149,0.006,0.0537,0.00032581453634085213
2025-01-01,121,COLLINSVILLE DENTAL CLINI,39,1,0.026,2.56,38,115,Mackay,6506,1381,0.175,0.006,0.0464,0.00027824349873363536
2024-10-01,120,CLERMONT DENTAL CLINIC,40,0,0.000,0.00,NULL,NULL,Mackay,6990,1209,0.147,0.006,0.0513,0.00029360815056225961
2024-07-01,120,CLERMONT DENTAL CLINIC,40,51,1.275,127.50,1,2,Mackay,6286,2554,0.289,0.006,0.0478,0.00030389594602807999
2023-10-01,121,COLLINSVILLE DENTAL CLINI,41,19,0.463,46.34,2,6,Mackay,7187,455,0.060,0.006,0.0575,0.00032783214993923111
2023-07-01,160,ST GEORGE DENTAL CLINIC,47,12,0.255,25.53,4,12,South West,798,288,0.265,0.059,0.0067,0.00039264828738512949
2023-04-01,142,GCUH DENTAL CLINIC,49,4,0.082,8.16,12,37,Gold Coast,9743,1155,0.106,0.005,0.0839,0.00042212267401791868
