quarter,catchment,catchment_waiting_total,catchment_treated_total,catchment_treatment_ratio,catchment_treatment_pct,months_to_treat,patients_cleared_in_24mo,patients_beyond_24mo,long_waiting_patients,exit_results,exit_interpretation
2025-01-01,Wide Bay,11636,1093,0.094,9.39,32,8727,2909,0,2909,exits likely
2025-04-01,Cairns and Hinterland,10058,878,0.087,8.73,34,7100,2958,0,2958,exits likely
2025-04-01,Central Queensland,8532,1173,0.137,13.75,22,9308,-776,0,-776,within target
2025-04-01,Central West,1157,103,0.089,8.90,34,817,340,0,340,exits likely
2025-04-01,Darling Downs,10662,633,0.059,5.94,51,5017,5645,0,5645,exits likely
2025-04-01,Gold Coast,9652,1429,0.148,14.81,20,11582,-1930,1,-1931,within target
2025-04-01,Mackay,6771,622,0.092,9.19,33,4924,1847,0,1847,exits likely
2025-04-01,Metro North,22727,2084,0.092,9.17,33,16529,6198,0,6198,exits likely
2025-04-01,Metro South,36577,1454,0.040,3.98,75,11705,24872,2,24870,exits likely
2025-04-01,North West,610,57,0.093,9.34,32,458,153,1,152,exits likely
2025-04-01,South West,1275,257,0.202,20.16,15,2040,-765,0,-765,within target
2025-04-01,Sunshine Coast,12104,786,0.065,6.49,46,6315,5789,6,5783,exits likely
2025-04-01,Torres and Cape,726,156,0.215,21.49,14,1245,-519,142,-661,within target
2025-04-01,Townsville,3712,305,0.082,8.22,37,2408,1304,0,1304,exits likely
2025-04-01,West Moreton,11456,456,0.040,3.98,75,3666,7790,901,6889,exits likely
2025-04-01,Wide Bay,11693,1082,0.093,9.25,32,8770,2923,0,2923,exits likely
